user_id,churn_probability,plan_tier,monthly_fee,ltv,primary_driver,is_eligible,approved_action,approved_discount_pct,expected_value_saved,discount_cost,total_intervention_cost,net_impact,roi_percentage,status_note
1980,0.0237,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1167,0.0007,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1258,0.0008,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2461,0.0526,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3760,0.0404,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3795,0.1111,Enterprise,299.0,3588.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2389,0.0005,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2320,0.122,Enterprise,299.0,3588.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3014,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1383,0.0134,Basic,29.0,348.0,avg_session_gap_days,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2791,0.7247,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
2229,0.0971,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2719,0.0486,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1228,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3725,0.0003,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3347,0.0733,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3353,0.0005,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1711,0.0239,Basic,29.0,348.0,avg_session_gap_days,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1577,0.0249,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2038,0.8241,Enterprise,299.0,3588.0,sessions_recent_14d,True,Re-engagement Strategy Call,20.0,1076.4,717.6,718.6,357.8,49.79,Action 'Re-engagement Strategy Call' approved. Proposed discount (20.0%) within policy cap of 20.0%.
1776,0.1196,Enterprise,299.0,3588.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2311,0.6152,Pro,99.0,1188.0,sessions_recent_14d,True,Re-engagement Strategy Call,15.0,356.4,178.2,179.2,177.2,98.88,Action 'Re-engagement Strategy Call' approved. Proposed discount (15.0%) within policy cap of 15.0%.
3962,0.1222,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2049,0.0422,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1454,0.0003,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1147,0.0009,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3510,0.8351,Pro,99.0,1188.0,sessions_recent_14d,True,Re-engagement Strategy Call,15.0,356.4,178.2,179.2,177.2,98.88,Action 'Re-engagement Strategy Call' approved. Proposed discount (15.0%) within policy cap of 15.0%.
1535,0.0005,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2333,0.0005,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1660,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2033,0.0057,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1902,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2210,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2738,0.0329,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3080,0.0247,Enterprise,299.0,3588.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2009,0.0924,Basic,29.0,348.0,total_events_60d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3268,0.0689,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1175,0.0902,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2654,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2175,0.0002,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1250,0.5513,Enterprise,299.0,3588.0,sessions_recent_14d,True,Re-engagement Strategy Call,20.0,1076.4,717.6,718.6,357.8,49.79,Action 'Re-engagement Strategy Call' approved. Proposed discount (20.0%) within policy cap of 20.0%.
3576,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3001,0.2403,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2004,0.0578,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1203,0.695,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
1395,0.3456,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3361,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1353,0.5058,Basic,29.0,348.0,days_since_last_session,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
3436,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3454,0.0026,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3608,0.0437,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2748,0.0009,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1996,0.0003,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1969,0.0295,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2588,0.013,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1641,0.109,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1936,0.0004,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2974,0.0993,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1966,0.102,Pro,99.0,1188.0,days_since_last_session,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2216,0.0253,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3689,0.0003,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1989,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2413,0.0934,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3845,0.0524,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3434,0.0006,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2299,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1699,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3614,0.6955,Pro,99.0,1188.0,sessions_recent_14d,True,Re-engagement Strategy Call,15.0,356.4,178.2,179.2,177.2,98.88,Action 'Re-engagement Strategy Call' approved. Proposed discount (15.0%) within policy cap of 15.0%.
2054,0.289,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1721,0.0011,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3112,0.0979,Enterprise,299.0,3588.0,avg_session_gap_days,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2589,0.2075,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3256,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3862,0.0029,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3228,0.001,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2114,0.1415,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2874,0.0005,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1542,0.7112,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
2318,0.2843,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3580,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1376,0.3253,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3773,0.0006,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1455,0.0419,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3963,0.0346,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3251,0.0168,Pro,99.0,1188.0,avg_session_gap_days,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1041,0.3381,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3480,0.1266,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2433,0.0942,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3615,0.0173,Basic,29.0,348.0,avg_session_gap_days,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2899,0.0011,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3597,0.7664,Pro,99.0,1188.0,sessions_recent_14d,True,Re-engagement Strategy Call,15.0,356.4,178.2,179.2,177.2,98.88,Action 'Re-engagement Strategy Call' approved. Proposed discount (15.0%) within policy cap of 15.0%.
2319,0.0095,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2534,0.5503,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
1593,0.4531,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
3656,0.025,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2199,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2800,0.0109,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3186,0.0004,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1746,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1952,0.0003,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3195,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3652,0.6508,Pro,99.0,1188.0,sessions_recent_14d,True,Re-engagement Strategy Call,15.0,356.4,178.2,179.2,177.2,98.88,Action 'Re-engagement Strategy Call' approved. Proposed discount (15.0%) within policy cap of 15.0%.
1832,0.001,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2731,0.0049,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1884,0.0005,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3945,0.001,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1570,0.0283,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3650,0.0004,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1113,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2475,0.708,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
2708,0.1469,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2955,0.0002,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3475,0.5402,Pro,99.0,1188.0,sessions_recent_14d,True,Re-engagement Strategy Call,15.0,356.4,178.2,179.2,177.2,98.88,Action 'Re-engagement Strategy Call' approved. Proposed discount (15.0%) within policy cap of 15.0%.
1446,0.4442,Pro,99.0,1188.0,sessions_recent_14d,True,Re-engagement Strategy Call,15.0,356.4,178.2,179.2,177.2,98.88,Action 'Re-engagement Strategy Call' approved. Proposed discount (15.0%) within policy cap of 15.0%.
3871,0.0279,Enterprise,299.0,3588.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2867,0.0281,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2481,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2919,0.0004,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3932,0.0008,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3967,0.4956,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
2101,0.0009,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
