user_id,plan_tier,monthly_fee,total_spend_60d,days_since_last_session,sessions_recent_14d,sessions_previous_14d,session_drop_pct,total_events_60d,core_feature_usage_count,avg_session_duration_minutes,avg_session_gap_days,support_ticket_count,unresolved_tickets,churn_label
1037,Basic,29.0,58.0,15,0,3,100.0,69,18,23.44,2.76,0,0,0
1038,Pro,99.0,198.0,3,1,4,75.0,71,12,22.94,3.53,0,0,0
1039,Pro,99.0,198.0,3,10,11,9.09,210,40,26.15,1.19,0,0,0
1040,Basic,29.0,58.0,3,6,17,64.71,204,65,19.51,1.13,0,0,0
1041,Enterprise,299.0,697.0,6,7,2,-250.0,136,30,24.52,2.05,1,0,0
1042,Basic,29.0,58.0,1,10,11,9.09,203,57,26.91,1.27,1,0,0
1043,Basic,29.0,107.0,1,9,12,25.0,228,60,23.16,1.17,0,0,0
1044,Pro,99.0,347.0,0,3,4,25.0,82,31,24.9,2.91,1,0,0
1045,Enterprise,299.0,598.0,0,12,12,0.0,249,65,23.7,1.11,0,0,0
1046,Basic,29.0,58.0,21,0,2,100.0,86,13,20.65,2.39,0,0,1
1047,Pro,99.0,297.0,5,4,2,-100.0,109,28,25.07,2.06,0,0,1
1048,Pro,99.0,198.0,0,13,14,7.14,264,83,23.98,1.06,0,0,0
1049,Pro,99.0,198.0,0,12,12,0.0,206,54,27.2,1.19,0,0,0
1050,Basic,29.0,176.0,0,11,11,0.0,218,56,23.31,1.25,0,0,0
1051,Basic,29.0,58.0,2,5,5,0.0,116,26,21.7,2.13,0,0,0
1052,Basic,29.0,58.0,1,4,1,-300.0,64,11,23.0,3.59,0,0,0
1053,Enterprise,299.0,598.0,0,10,12,16.67,197,46,24.53,1.41,0,0,0
1054,Basic,29.0,58.0,0,6,4,-50.0,142,47,25.3,2.04,0,0,0
1055,Basic,29.0,58.0,0,14,10,-40.0,263,66,20.98,1.21,0,0,0
1056,Basic,29.0,58.0,1,6,10,40.0,187,41,20.54,1.44,0,0,0
1057,Enterprise,299.0,598.0,4,4,2,-100.0,107,25,26.28,2.29,0,0,0
1058,Pro,99.0,198.0,24,0,2,100.0,119,23,22.68,1.44,1,1,0
1059,Pro,99.0,198.0,0,12,11,-9.09,207,61,24.63,1.41,0,0,0
1060,Enterprise,299.0,598.0,2,1,1,0.0,96,16,25.21,3.15,0,0,0
1061,Pro,99.0,247.0,29,0,0,0.0,123,34,29.2,1.23,2,1,1
1062,Basic,29.0,58.0,0,14,10,-40.0,210,56,21.04,1.27,0,0,0
1063,Basic,29.0,58.0,0,12,9,-33.33,186,42,27.2,1.28,0,0,0
1064,Pro,99.0,198.0,16,0,4,100.0,138,30,24.2,1.79,0,0,1
1065,Basic,29.0,207.0,0,6,8,25.0,155,47,23.59,1.9,0,0,0
1066,Basic,29.0,77.0,0,11,14,21.43,261,52,24.57,1.14,0,0,0
1067,Basic,29.0,58.0,0,13,12,-8.33,202,44,22.68,1.28,1,0,0
1068,Enterprise,299.0,598.0,1,8,12,33.33,197,64,24.6,1.37,0,0,0
1069,Pro,99.0,198.0,0,2,2,0.0,115,38,23.96,2.44,0,0,0
1070,Basic,29.0,58.0,10,2,3,33.33,132,40,22.93,1.83,1,1,1
1071,Enterprise,299.0,598.0,0,13,12,-8.33,235,57,25.08,1.26,0,0,0
1072,Basic,29.0,58.0,0,11,13,15.38,226,63,23.67,1.26,0,0,0
1073,Basic,29.0,107.0,0,10,11,9.09,172,46,23.81,1.44,0,0,0
1074,Pro,99.0,198.0,3,4,7,42.86,126,29,23.3,2.17,0,0,0
1075,Basic,29.0,58.0,0,14,13,-7.69,250,72,22.43,1.05,0,0,0
1076,Enterprise,299.0,647.0,0,9,12,25.0,212,51,22.64,1.32,0,0,0
1077,Basic,29.0,58.0,1,12,15,20.0,240,64,24.3,1.12,0,0,0
1078,Enterprise,299.0,747.0,5,5,12,58.33,176,37,24.59,1.42,0,0,0
1079,Pro,99.0,198.0,4,6,9,33.33,160,40,26.32,1.53,0,0,0
1080,Basic,29.0,207.0,0,6,3,-100.0,114,35,20.18,2.72,1,0,0
1081,Basic,29.0,58.0,3,1,5,80.0,98,23,20.09,2.57,1,0,1
1082,Pro,99.0,198.0,0,3,3,0.0,82,22,23.37,3.04,0,0,0
1083,Basic,29.0,58.0,12,2,11,81.82,167,47,26.22,1.31,1,1,1
1084,Basic,29.0,157.0,0,11,10,-10.0,226,62,25.65,1.26,0,0,0
1085,Basic,29.0,58.0,5,2,3,33.33,96,18,27.09,2.4,0,0,0
1086,Pro,99.0,198.0,1,11,14,21.43,232,67,22.55,1.14,0,0,0
1087,Pro,99.0,198.0,0,12,14,14.29,210,48,28.29,1.25,1,0,0
1088,Pro,99.0,198.0,0,15,11,-36.36,184,47,22.47,1.4,0,0,0
1089,Pro,99.0,198.0,0,9,8,-12.5,212,43,26.16,1.21,0,0,0
1090,Enterprise,299.0,598.0,0,11,12,8.33,207,55,23.78,1.33,0,0,0
1091,Basic,29.0,58.0,0,14,13,-7.69,234,59,23.72,1.13,0,0,0
1092,Enterprise,299.0,598.0,18,0,2,100.0,90,28,25.9,2.01,2,1,1
1093,Basic,29.0,58.0,2,2,6,66.67,99,24,29.05,2.65,0,0,0
1094,Pro,99.0,198.0,11,1,5,80.0,118,31,24.96,1.87,0,0,0
1095,Pro,99.0,495.0,0,13,14,7.14,207,49,24.52,1.15,0,0,0
1096,Basic,29.0,58.0,29,0,0,0.0,108,24,26.43,1.36,1,1,1
1097,Enterprise,299.0,716.0,19,0,3,100.0,62,11,25.43,3.07,0,0,0
1098,Basic,29.0,58.0,0,9,18,50.0,246,57,21.4,1.15,0,0,0
1099,Pro,99.0,198.0,26,0,2,100.0,128,34,23.3,1.23,1,1,0
1100,Enterprise,299.0,846.0,16,0,2,100.0,86,21,25.67,2.15,0,0,0
1101,Pro,99.0,198.0,3,12,6,-100.0,182,37,21.05,1.43,0,0,0
1102,Basic,29.0,58.0,10,1,10,90.0,142,44,21.35,1.57,1,1,0
1103,Pro,99.0,198.0,1,12,13,7.69,224,59,26.27,1.21,0,0,0
1104,Basic,29.0,58.0,2,4,6,33.33,106,29,27.67,2.48,0,0,0
1105,Basic,29.0,58.0,0,11,10,-10.0,248,66,23.2,1.2,0,0,0
1106,Pro,99.0,198.0,1,3,1,-200.0,96,31,27.91,2.76,0,0,0
1107,Pro,99.0,366.0,2,10,9,-11.11,198,40,25.07,1.29,0,0,0
1108,Pro,99.0,297.0,1,8,7,-14.29,190,54,22.93,1.39,0,0,0
1109,Basic,29.0,58.0,2,3,5,40.0,89,15,23.76,2.87,0,0,0
1110,Pro,99.0,198.0,8,2,10,80.0,155,43,23.2,1.51,1,1,0
1111,Pro,99.0,198.0,3,3,7,57.14,147,37,21.5,1.94,0,0,0
1112,Basic,29.0,58.0,0,12,13,7.69,203,56,24.55,1.24,0,0,0
1113,Basic,29.0,58.0,1,9,14,35.71,195,55,24.2,1.25,1,0,0
1114,Enterprise,299.0,598.0,1,9,10,10.0,174,34,23.19,1.41,0,0,0
1115,Enterprise,299.0,598.0,1,2,1,-100.0,131,39,22.7,2.21,1,0,0
1116,Pro,99.0,198.0,4,3,7,57.14,138,40,23.13,1.83,0,0,0
1117,Pro,99.0,247.0,0,13,8,-62.5,196,52,21.38,1.33,0,0,0
1118,Basic,29.0,58.0,1,4,7,42.86,156,36,24.77,1.64,0,0,1
1119,Basic,29.0,176.0,1,12,11,-9.09,242,65,20.63,1.1,0,0,0
1120,Pro,99.0,198.0,0,9,10,10.0,179,59,21.07,1.35,0,0,0
1121,Enterprise,299.0,598.0,17,0,6,100.0,117,29,25.34,1.5,1,1,1
1122,Enterprise,299.0,598.0,0,10,9,-11.11,198,46,24.93,1.36,1,0,0
1123,Basic,29.0,157.0,15,0,13,100.0,134,28,23.61,1.65,1,0,1
1124,Basic,29.0,58.0,0,3,9,66.67,141,42,26.13,1.97,2,2,0
1125,Enterprise,299.0,598.0,15,0,9,100.0,146,36,24.7,1.46,1,1,1
1126,Basic,29.0,58.0,2,9,11,18.18,207,51,25.15,1.2,0,0,0
1127,Enterprise,299.0,598.0,6,7,11,36.36,207,49,21.16,1.23,0,0,0
1128,Basic,29.0,58.0,2,1,4,75.0,124,34,20.07,2.1,0,0,0
1129,Enterprise,299.0,747.0,0,2,3,33.33,102,24,24.0,2.96,0,0,0
1130,Pro,99.0,347.0,0,8,12,33.33,240,55,22.55,1.18,0,0,0
1131,Pro,99.0,198.0,25,0,1,100.0,74,23,29.94,2.03,1,1,1
1132,Basic,29.0,77.0,3,5,6,16.67,119,29,23.24,2.33,0,0,0
1133,Enterprise,299.0,598.0,20,0,3,100.0,54,14,27.77,3.12,0,0,0
1134,Pro,99.0,198.0,2,4,9,55.56,165,37,23.12,1.68,0,0,0
1135,Basic,29.0,58.0,0,15,10,-50.0,223,58,23.96,1.16,0,0,0
1136,Pro,99.0,347.0,5,2,10,80.0,127,36,26.8,1.79,0,0,0
1137,Enterprise,299.0,598.0,23,0,4,100.0,114,33,24.54,1.56,1,1,0
1138,Pro,99.0,236.0,1,4,7,42.86,140,28,20.69,1.87,0,0,0
1139,Pro,99.0,198.0,11,2,2,0.0,88,22,21.86,2.39,0,0,0
1140,Pro,99.0,198.0,5,6,12,50.0,214,53,24.78,1.22,0,0,0
1141,Enterprise,299.0,598.0,1,10,12,16.67,201,48,25.56,1.32,0,0,0
1142,Basic,29.0,58.0,2,12,11,-9.09,241,50,22.56,1.06,0,0,0
1143,Pro,99.0,198.0,0,10,14,28.57,230,61,20.08,1.21,0,0,0
1144,Basic,29.0,58.0,6,2,7,71.43,127,33,24.59,2.05,0,0,0
1145,Basic,29.0,58.0,7,3,2,-50.0,136,26,21.47,1.64,1,0,0
1146,Basic,29.0,96.0,1,11,13,15.38,250,65,22.6,1.14,0,0,0
1147,Pro,99.0,644.0,0,10,17,41.18,217,61,21.7,1.21,0,0,0
1148,Basic,29.0,58.0,8,2,9,77.78,132,27,23.41,1.54,0,0,0
1149,Pro,99.0,347.0,0,9,10,10.0,185,42,26.37,1.4,0,0,0
1150,Pro,99.0,198.0,1,9,14,35.71,237,59,22.26,1.18,0,0,0
1151,Basic,29.0,157.0,10,1,6,83.33,91,14,20.76,2.46,0,0,0
1152,Pro,99.0,198.0,1,2,1,-100.0,129,28,23.28,2.0,0,0,0
1153,Pro,99.0,198.0,13,1,8,87.5,116,26,22.39,1.66,1,1,0
1154,Pro,99.0,347.0,0,11,10,-10.0,227,65,24.98,1.23,0,0,0
1155,Pro,99.0,446.0,2,10,11,9.09,207,51,25.9,1.15,0,0,0
1156,Basic,29.0,77.0,2,10,12,16.67,198,54,24.1,1.35,1,0,0
1157,Basic,29.0,207.0,21,0,3,100.0,115,34,30.09,1.81,1,0,0
1158,Pro,99.0,198.0,3,4,5,20.0,106,24,23.04,2.45,1,0,0
1159,Basic,29.0,58.0,0,10,12,16.67,196,50,21.48,1.37,0,0,0
1160,Basic,29.0,58.0,0,9,13,30.77,230,67,24.51,1.13,0,0,0
1161,Pro,99.0,247.0,1,2,3,33.33,123,27,22.22,2.22,0,0,0
1162,Pro,99.0,217.0,1,10,11,9.09,191,39,23.71,1.3,0,0,0
1163,Enterprise,299.0,598.0,0,4,3,-33.33,122,36,24.58,2.58,0,0,1
1164,Pro,99.0,198.0,2,4,2,-100.0,74,12,23.94,3.48,1,0,0
1165,Basic,29.0,58.0,0,12,13,7.69,206,57,23.85,1.29,1,0,0
1166,Basic,29.0,58.0,3,3,7,57.14,115,28,22.93,1.91,0,0,0
1167,Basic,29.0,157.0,0,10,8,-25.0,194,35,23.49,1.47,0,0,0
1168,Basic,29.0,156.0,0,12,12,0.0,222,55,24.52,1.24,0,0,0
1169,Enterprise,299.0,716.0,8,4,7,42.86,140,27,25.87,1.76,0,0,0
1170,Basic,29.0,157.0,2,14,11,-27.27,194,61,22.72,1.36,0,0,0
1171,Basic,29.0,306.0,5,6,12,50.0,134,37,20.57,1.6,0,0,0
1172,Basic,29.0,157.0,0,8,9,11.11,181,58,26.4,1.42,0,0,0
1173,Basic,29.0,157.0,3,5,4,-25.0,97,24,29.43,2.82,0,0,0
1174,Pro,99.0,198.0,0,8,9,11.11,195,41,24.48,1.34,0,0,0
1175,Basic,29.0,157.0,5,3,8,62.5,131,36,22.17,1.94,0,0,0
1176,Pro,99.0,198.0,9,1,6,83.33,147,39,21.44,1.52,1,1,0
1177,Pro,99.0,198.0,0,8,15,46.67,176,47,22.85,1.48,0,0,0
1178,Basic,29.0,58.0,8,2,7,71.43,120,28,20.31,2.0,0,0,0
1179,Basic,29.0,206.0,2,2,6,66.67,112,25,30.0,2.71,1,1,0
1180,Enterprise,299.0,598.0,8,6,2,-200.0,104,26,25.83,1.96,0,0,0
1181,Basic,29.0,107.0,0,3,5,40.0,107,25,18.0,2.55,0,0,0
1182,Basic,29.0,58.0,6,3,4,25.0,112,34,22.92,2.17,0,0,0
1183,Enterprise,299.0,598.0,1,9,9,0.0,188,49,26.5,1.36,0,0,0
1184,Enterprise,299.0,697.0,14,0,7,100.0,93,23,24.7,2.01,1,1,1
1185,Basic,29.0,77.0,0,7,13,46.15,215,56,22.17,1.31,0,0,0
1186,Basic,29.0,226.0,0,14,11,-27.27,189,40,23.91,1.29,0,0,0
1187,Basic,29.0,58.0,13,1,5,80.0,85,30,21.48,2.29,0,0,0
1188,Basic,29.0,58.0,0,14,7,-100.0,179,44,28.07,1.37,1,0,0
1189,Pro,99.0,198.0,3,14,13,-7.69,251,64,24.34,1.02,0,0,0
1190,Pro,99.0,347.0,0,15,14,-7.14,217,63,23.3,1.13,1,1,0
1191,Basic,29.0,77.0,8,1,4,75.0,114,24,19.96,2.08,0,0,0
1192,Pro,99.0,198.0,16,0,8,100.0,151,43,24.97,1.19,1,1,1
1193,Pro,99.0,198.0,7,2,3,33.33,81,23,21.47,2.77,0,0,0
1194,Basic,29.0,58.0,0,11,11,0.0,225,54,25.34,1.28,0,0,0
1195,Pro,99.0,198.0,8,3,3,0.0,114,27,22.21,1.84,0,0,0
1196,Enterprise,299.0,598.0,2,12,13,7.69,259,64,23.91,1.05,0,0,0
1197,Basic,29.0,107.0,13,1,5,80.0,79,22,24.06,2.71,0,0,0
1198,Basic,29.0,58.0,21,0,4,100.0,132,37,22.33,1.48,1,0,0
1199,Enterprise,299.0,598.0,0,10,11,9.09,228,67,23.51,1.34,0,0,0
1200,Pro,99.0,247.0,3,4,4,0.0,109,27,26.77,2.69,0,0,0
1201,Basic,29.0,58.0,13,1,15,93.33,150,34,24.97,1.43,1,1,0
1202,Pro,99.0,198.0,2,4,3,-33.33,80,25,26.22,3.27,0,0,0
1203,Basic,29.0,58.0,20,0,5,100.0,94,22,25.09,1.75,2,1,0
1204,Basic,29.0,58.0,1,13,10,-30.0,199,51,24.65,1.37,0,0,0
1205,Enterprise,299.0,598.0,1,11,8,-37.5,196,45,23.89,1.29,0,0,0
1206,Basic,29.0,393.0,11,1,2,50.0,94,21,23.6,2.51,1,0,0
1207,Enterprise,299.0,598.0,14,0,5,100.0,94,33,27.82,2.12,0,0,0
1208,Pro,99.0,198.0,0,12,12,0.0,209,52,25.78,1.18,0,0,0
1209,Basic,29.0,107.0,1,10,8,-25.0,163,31,22.81,1.41,0,0,0
1210,Pro,99.0,297.0,3,4,3,-33.33,87,25,20.86,2.78,0,0,0
1211,Pro,99.0,198.0,0,10,7,-42.86,171,43,22.38,1.76,0,0,0
1212,Basic,29.0,77.0,0,14,11,-27.27,217,57,21.81,1.23,0,0,0
1213,Basic,29.0,58.0,2,3,3,0.0,95,23,24.82,2.73,0,0,0
1214,Basic,29.0,58.0,32,0,0,0.0,68,11,26.93,1.86,1,1,1
1215,Basic,29.0,58.0,0,11,9,-22.22,209,47,24.53,1.28,0,0,0
1216,Basic,29.0,207.0,1,5,5,0.0,126,42,21.67,2.2,0,0,0
1217,Pro,99.0,217.0,0,13,8,-62.5,198,57,23.0,1.2,0,0,0
1218,Basic,29.0,157.0,15,0,6,100.0,95,19,24.19,2.19,0,0,0
1219,Basic,29.0,207.0,2,4,2,-100.0,134,28,25.61,2.07,0,0,0
1220,Pro,99.0,297.0,0,11,10,-10.0,179,56,27.72,1.53,0,0,0
1221,Basic,29.0,58.0,10,2,7,71.43,113,31,21.35,1.98,1,1,1
1222,Basic,29.0,58.0,0,10,13,23.08,205,46,25.5,1.37,0,0,0
1223,Pro,99.0,198.0,26,0,1,100.0,111,32,25.12,1.44,1,1,1
1224,Enterprise,299.0,647.0,5,5,8,37.5,129,26,24.35,2.07,0,0,1
1225,Basic,29.0,58.0,1,10,12,16.67,217,45,22.64,1.24,0,0,0
1226,Pro,99.0,198.0,2,3,8,62.5,93,19,17.59,2.74,1,0,0
1227,Basic,29.0,58.0,28,0,0,0.0,80,28,20.68,1.73,1,1,0
1228,Basic,29.0,58.0,0,15,13,-15.38,250,61,24.83,1.12,0,0,0
1229,Basic,29.0,107.0,0,13,12,-8.33,263,70,22.76,1.16,0,0,0
1230,Basic,29.0,58.0,1,9,8,-12.5,165,49,25.2,1.5,1,0,0
1231,Basic,29.0,356.0,4,3,4,25.0,113,34,26.18,2.57,0,0,0
1232,Pro,99.0,247.0,1,9,7,-28.57,162,33,25.6,1.68,0,0,0
1233,Enterprise,299.0,617.0,0,8,11,27.27,181,51,23.3,1.36,0,0,0
1234,Basic,29.0,58.0,19,0,5,100.0,135,29,23.86,1.48,0,0,1
1235,Basic,29.0,107.0,16,0,8,100.0,114,27,25.23,1.72,1,1,0
1236,Basic,29.0,58.0,2,1,1,0.0,130,44,20.29,2.04,1,0,0
1237,Basic,29.0,157.0,12,1,0,-100.0,80,15,26.81,2.95,1,1,1
1238,Pro,99.0,247.0,17,0,10,100.0,127,38,21.07,1.44,1,1,1
1239,Basic,29.0,107.0,3,3,6,50.0,103,31,24.72,2.34,0,0,0
1240,Enterprise,299.0,598.0,0,4,4,0.0,98,26,23.19,2.98,0,0,0
1241,Pro,99.0,198.0,2,4,5,20.0,98,19,27.7,2.55,0,0,0
1242,Basic,29.0,107.0,2,2,5,60.0,92,28,23.05,2.62,0,0,0
1243,Pro,99.0,198.0,2,2,3,33.33,90,24,26.05,3.17,1,0,1
1244,Basic,29.0,58.0,0,14,12,-16.67,212,47,22.96,1.18,0,0,0
1245,Enterprise,299.0,647.0,16,0,4,100.0,117,31,22.46,1.56,1,0,0
1246,Basic,29.0,58.0,11,2,2,0.0,100,25,23.1,2.41,0,0,0
1247,Basic,29.0,58.0,0,9,10,10.0,224,54,24.02,1.19,0,0,0
1248,Basic,29.0,356.0,1,13,10,-30.0,257,53,28.61,1.1,0,0,0
1249,Pro,99.0,217.0,0,15,9,-66.67,254,66,25.22,1.1,0,0,0
1250,Enterprise,299.0,598.0,6,2,0,-100.0,90,23,21.67,2.68,1,1,1
1251,Pro,99.0,198.0,1,4,6,33.33,124,22,21.43,1.99,0,0,0
1252,Basic,29.0,176.0,6,4,6,33.33,120,35,24.92,2.1,0,0,0
1253,Pro,99.0,198.0,0,9,10,10.0,187,42,20.45,1.5,0,0,0
1254,Enterprise,299.0,647.0,0,7,3,-133.33,120,32,19.93,2.18,0,0,0
1255,Enterprise,299.0,617.0,10,1,2,50.0,125,32,26.89,1.81,0,0,0
1256,Pro,99.0,247.0,1,10,8,-25.0,215,46,22.06,1.25,1,0,0
1257,Enterprise,299.0,598.0,23,0,6,100.0,89,18,23.2,1.91,2,1,1
1258,Basic,29.0,207.0,1,9,8,-12.5,194,43,21.53,1.37,0,0,0
1259,Basic,29.0,58.0,9,5,1,-400.0,111,24,23.15,1.93,0,0,0
1260,Enterprise,299.0,598.0,1,10,9,-11.11,205,61,24.07,1.25,0,0,0
1261,Pro,99.0,198.0,0,10,12,16.67,179,42,24.5,1.35,0,0,0
1262,Enterprise,299.0,598.0,13,1,5,80.0,129,34,24.92,1.84,1,1,0
1263,Pro,99.0,198.0,0,9,10,10.0,201,53,23.11,1.35,0,0,0
1264,Basic,29.0,77.0,0,11,13,15.38,236,55,22.31,1.16,0,0,0
1265,Basic,29.0,58.0,29,0,0,0.0,105,28,24.64,1.37,1,1,1
1266,Pro,99.0,396.0,1,2,2,0.0,96,18,24.92,2.36,1,1,1
1267,Enterprise,299.0,785.0,4,3,2,-50.0,82,22,28.47,3.23,0,0,0
1268,Pro,99.0,198.0,9,2,7,71.43,162,37,23.2,1.22,2,1,1
1269,Pro,99.0,347.0,2,8,14,42.86,176,36,23.41,1.31,0,0,0
1270,Basic,29.0,58.0,0,11,14,21.43,216,46,23.92,1.21,0,0,0
1271,Enterprise,299.0,846.0,4,7,6,-16.67,131,32,26.04,2.21,0,0,0
1272,Basic,29.0,58.0,0,4,2,-100.0,107,24,25.26,2.51,0,0,0
1273,Pro,99.0,217.0,1,13,10,-30.0,228,66,25.68,1.19,0,0,0
1274,Basic,29.0,157.0,1,4,5,20.0,87,20,24.26,3.16,1,0,0
1275,Pro,99.0,496.0,0,4,5,20.0,134,37,23.0,2.23,0,0,0
1276,Pro,99.0,396.0,11,3,4,25.0,132,36,23.07,1.67,1,1,0
1277,Pro,99.0,347.0,4,3,5,40.0,106,20,25.07,2.02,0,0,0
1278,Enterprise,299.0,598.0,0,10,11,9.09,188,46,24.04,1.31,0,0,0
1279,Basic,29.0,77.0,0,12,15,20.0,224,64,24.41,1.19,0,0,0
1280,Pro,99.0,198.0,4,2,6,66.67,148,31,27.47,1.78,0,0,0
1281,Pro,99.0,198.0,0,10,15,33.33,227,56,26.02,1.21,0,0,0
1282,Basic,29.0,107.0,0,15,8,-87.5,211,55,24.65,1.26,0,0,0
1283,Basic,29.0,58.0,1,4,2,-100.0,90,21,21.74,3.12,0,0,0
1284,Basic,29.0,58.0,0,15,10,-50.0,240,55,23.45,1.11,1,0,0
1285,Enterprise,299.0,598.0,0,14,12,-16.67,204,49,23.16,1.21,0,0,0
1286,Pro,99.0,297.0,3,5,7,28.57,121,27,19.87,1.92,0,0,0
1287,Basic,29.0,58.0,6,1,9,88.89,137,28,27.1,1.86,0,0,0
1288,Enterprise,299.0,598.0,30,0,0,0.0,117,31,24.19,1.12,1,1,1
1289,Basic,29.0,58.0,26,0,1,100.0,82,21,25.6,1.73,0,0,0
1290,Basic,29.0,58.0,1,11,8,-37.5,216,56,22.79,1.25,0,0,0
1291,Basic,29.0,58.0,12,2,9,77.78,126,42,26.74,1.56,1,1,1
1292,Basic,29.0,58.0,0,16,14,-14.29,243,49,22.41,1.01,0,0,0
1293,Pro,99.0,347.0,1,10,11,9.09,178,50,26.48,1.41,1,0,0
1294,Basic,29.0,58.0,1,8,13,38.46,199,45,22.09,1.36,0,0,0
1295,Basic,29.0,58.0,0,10,8,-25.0,191,50,26.73,1.48,0,0,0
1296,Basic,29.0,107.0,2,4,5,20.0,93,29,27.59,2.67,0,0,0
1297,Basic,29.0,58.0,1,13,9,-44.44,227,55,21.6,1.13,0,0,0
1298,Enterprise,299.0,598.0,1,10,8,-25.0,220,57,22.02,1.24,0,0,0
1299,Pro,99.0,198.0,0,14,12,-16.67,235,65,27.11,1.09,0,0,0
1300,Basic,29.0,207.0,1,5,9,44.44,157,35,24.82,1.44,0,0,0
1301,Basic,29.0,58.0,0,12,13,7.69,210,54,24.06,1.2,0,0,0
1302,Basic,29.0,58.0,0,9,14,35.71,192,47,28.58,1.34,0,0,0
1303,Basic,29.0,58.0,0,13,12,-8.33,219,51,23.37,1.3,0,0,0
1304,Basic,29.0,58.0,1,12,7,-71.43,167,42,23.2,1.71,0,0,0
1305,Pro,99.0,316.0,0,5,3,-66.67,97,27,24.0,2.62,1,0,0
1306,Basic,29.0,58.0,6,3,5,40.0,116,32,22.08,2.12,0,0,0
1307,Pro,99.0,198.0,0,12,9,-33.33,229,48,22.36,1.21,0,0,0
1308,Enterprise,299.0,598.0,25,0,2,100.0,101,26,17.57,1.72,1,0,1
1309,Basic,29.0,58.0,0,9,10,10.0,195,36,22.33,1.35,0,0,0
1310,Pro,99.0,198.0,9,2,6,66.67,136,36,20.55,1.79,0,0,0
1311,Basic,29.0,157.0,0,11,16,31.25,237,65,25.92,1.2,0,0,0
1312,Basic,29.0,58.0,2,11,11,0.0,221,61,25.75,1.09,0,0,0
1313,Pro,99.0,247.0,0,12,13,7.69,228,57,25.26,1.11,0,0,0
1314,Basic,29.0,58.0,6,5,5,0.0,129,39,27.48,1.89,0,0,0
1315,Basic,29.0,58.0,2,8,10,20.0,161,38,27.07,1.41,0,0,0
